ID,Name,PokemonType1ID,PokemonType2ID,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,1,6,318,45,49,49,65,65,45,1,0
2,Ivysaur,1,6,405,60,62,63,80,80,60,1,0
3,Venusaur,1,6,525,80,82,83,100,100,80,1,0
4,VenusaurMega Venusaur,1,6,625,80,100,123,122,120,80,1,0
5,Charmander,2,0,309,39,52,43,60,50,65,1,0
6,Charmeleon,2,0,405,58,64,58,80,65,80,1,0
7,CharizardMega Charizard X,2,15,634,78,130,111,130,85,100,1,0
8,Charizard,2,18,534,78,84,78,109,85,100,1,0
9,CharizardMega Charizard Y,2,18,634,78,104,78,159,115,100,1,0
10,Squirtle,3,0,314,44,48,65,50,64,43,1,0
11,Wartortle,3,0,405,59,63,80,65,80,58,1,0
12,BlastoiseMega Blastoise,3,0,630,79,103,120,135,115,78,1,0
13,Blastoise,3,0,530,79,83,100,85,105,78,1,0
14,Caterpie,4,0,195,45,30,35,20,20,45,1,0 
15,Metapod,4,0,205,50,20,55,25,25,30,1,0
16,Butterfree,4,18,395,60,45,50,90,80,70,1,0
17,Weedle,4,6,195,40,35,30,20,20,50,1,0
18,Kakuna,4,6,205,45,25,50,25,25,35,1,0
19,Beedrill,4,6,395,65,90,40,45,80,75,1,0
20,BeedrillMega Beedrill,4,6,495,65,150,40,15,80,145,1,0
21,Pidgey,5,18,251,40,45,40,35,35,56,1,0
22,Pidgeotto,5,18,349,63,60,55,50,50,71,1,0
23,Pidgeot,5,18,479,83,80,75,70,70,101,1,0
24,PidgeotMega Pidgeot,5,18,579,83,80,80,135,80,121,1,0
25,Rattata,5,0,253,30,56,35,25,35,72,1,0
26,Raticate,5,0,413,55,81,60,50,70,97,1,0
27,Spearow,5,18,262,40,60,30,31,31,70,1,0
28,Fearow,5,18,442,65,90,65,61,61,100,1,0
29,Ekans,6,0,288,35,60,44,40,54,55,1,0
30,Arbok,6,0,438,60,85,69,65,79,80,1,0
31,Pikachu,7,0,320,35,55,40,50,50,90,1,0
32,Raichu,7,0,485,60,90,55,90,80,110,1,0
33,Sandshrew,8,0,300,50,75,85,20,30,40,1,0
34,Sandslash,8,0,450,75,100,110,45,55,65,1,0
35,Nidoranâ™€,6,0,275,55,47,52,40,40,41,1,0
36,Nidorina,6,0,365,70,62,67,55,55,56,1,0
37,Nidoqueen,6,8,505,90,92,87,75,85,76,1,0
38,Nidoranâ™‚,6,0,273,46,57,40,40,40,50,1,0
39,Nidorino,6,0,365,61,72,57,55,55,65,1,0
40,Clefairy,9,0,323,70,45,48,60,65,35,1,0
41,Ninetales,2,0,505,73,76,75,81,100,100,1,0
42,Jigglypuff,5,9,270,115,45,20,45,25,20,1,0
43,Wigglytuff,5,9,435,140,70,45,85,50,45,1,0
44,Zubat,6,18,245,40,45,35,30,40,55,1,0
45,Golbat,6,18,455,75,80,70,65,75,90,1,0
46,Oddish,1,6,320,45,50,55,75,65,30,1,0
47,Gloom,1,6,395,60,65,70,85,75,40,1,0
48,Vileplume,1,6,490,75,80,85,110,90,50,1,0
49,Paras,4,1,285,35,70,55,45,55,25,1,0
50,Parasect,4,1,405,60,95,80,60,80,30,1,0
51,Venonat,4,6,305,60,55,50,40,55,45,1,0
52,Venomoth,4,6,450,70,65,60,90,75,90,1,0
53,Diglett,8,0,265,10,55,25,35,45,95,1,0
54,Dugtrio,8,0,405,35,80,50,50,70,120,1,0
55,Meowth,5,0,290,40,45,35,40,40,90,1,0
56,Persian,5,0,440,65,70,60,65,65,115,1,0
57,Psyduck,3,0,320,50,52,48,65,50,55,1,0
58,Golduck,3,0,500,80,82,78,95,80,85,1,0
59,Mankey,10,0,305,40,80,35,35,45,70,1,0
60,Primeape,10,0,455,65,105,60,60,70,95,1,0
61,Growlithe,2,0,350,55,70,45,70,50,60,1,0
62,Arcanine,2,0,555,90,110,80,100,80,95,1,0
63,Poliwag,3,0,300,40,50,40,40,40,90,1,0
64,Poliwhirl,3,0,385,65,65,65,50,50,90,1,0
65,Poliwrath,3,10,510,90,95,95,70,90,70,1,0
66,Abra,11,0,310,25,20,15,105,55,90,1,0
67,Kadabra,11,0,400,40,35,30,120,70,105,1,0
68,AlakazamMega Alakazam,11,0,590,55,50,65,175,95,150,1,0
69,Alakazam,11,0,500,55,50,45,135,95,120,1,0
70,Machop,10,0,305,70,80,50,35,35,35,1,0
71,Machoke,10,0,405,80,100,70,50,60,45,1,0
72,Machamp,10,0,505,90,130,80,65,85,55,1,0
73,Bellsprout,1,6,300,50,75,35,70,30,40,1,0
74,Weepinbell,1,6,390,65,90,50,85,45,55,1,0
75,Victreebel,1,6,490,80,105,65,100,70,70,1,0
76,Tentacool,3,6,335,40,40,35,50,100,70,1,0
77,Tentacruel,3,6,515,80,70,65,80,120,100,1,0
78,Geodude,12,8,300,40,80,100,30,30,20,1,0
79,Graveler,12,8,390,55,95,115,45,45,35,1,0
80,Golem,12,8,495,80,120,130,55,65,45,1,0
81,Ponyta,2,0,410,50,85,55,65,65,90,1,0
82,Rapidash,2,0,500,65,100,70,80,80,105,1,0
83,Slowpoke,3,11,315,90,65,65,40,40,15,1,0
84,SlowbroMega Slowbro,3,11,590,95,75,180,130,80,30,1,0
85,Slowbro,3,11,490,95,75,110,100,80,30,1,0
86,Magnemite,7,17,325,25,35,70,95,55,45,1,0
87,Magneton,7,17,465,50,60,95,120,70,70,1,0
88,Farfetch'd,5,18,352,52,65,55,58,62,60,1,0
89,Doduo,5,18,310,35,85,45,35,35,75,1,0
90,Dodrio,5,18,460,60,110,70,60,60,100,1,0
91,Seel,3,0,325,65,45,55,45,70,45,1,0
92,Dewgong,3,14,475,90,70,80,70,95,70,1,0
93,Grimer,6,0,325,80,80,50,40,50,25,1,0
94,Muk,6,0,500,105,105,75,65,100,50,1,0
95,Shellder,3,0,305,30,65,100,45,25,40,1,0
96,Cloyster,3,14,525,50,95,180,85,45,70,1,0
97,Gastly,13,6,310,30,35,30,100,35,80,1,0
98,Haunter,13,6,405,45,50,45,115,55,95,1,0
99,GengarMega Gengar,13,6,600,60,65,80,170,95,130,1,0
100,Gengar,13,6,500,60,65,60,130,75,110,1,0
101,Onix,12,8,385,35,45,160,30,45,70,1,0
102,Drowzee,11,0,328,60,48,45,43,90,42,1,0
103,Hypno,11,0,483,85,73,70,73,115,67,1,0
104,Krabby,3,0,325,30,105,90,25,25,50,1,0
105,Kingler,3,0,475,55,130,115,50,50,75,1,0
106,Voltorb,7,0,330,40,30,50,55,55,100,1,0
107,Electrode,7,0,480,60,50,70,80,80,140,1,0
108,Exeggcute,1,11,325,60,40,80,60,45,40,1,0
109,Exeggutor,1,11,520,95,95,85,125,65,55,1,0
110,Cubone,8,0,320,50,50,95,40,50,35,1,0
111,Marowak,8,0,425,60,80,110,50,80,45,1,0
112,Hitmonlee,10,0,455,50,120,53,35,110,87,1,0
113,Hitmonchan,10,0,455,50,105,79,35,110,76,1,0
114,Lickitung,5,0,385,90,55,75,60,75,30,1,0
115,Koffing,6,0,340,40,65,95,60,45,35,1,0
116,Weezing,6,0,490,65,90,120,85,70,60,1,0
117,Rhyhorn,8,12,345,80,85,95,30,30,25,1,0
118,Rhydon,8,12,485,105,130,120,45,45,40,1,0
119,Chansey,5,0,450,250,5,5,35,105,50,1,0
120,Tangela,1,0,435,65,55,115,100,40,60,1,0
121,KangaskhanMega Kangaskhan,5,0,590,105,125,100,60,100,100,1,0
122,Kangaskhan,5,0,490,105,95,80,40,80,90,1,0
123,Horsea,3,0,295,30,40,70,70,25,60,1,0
124,Seadra,3,0,440,55,65,95,95,45,85,1,0
125,Goldeen,3,0,320,45,67,60,35,50,63,1,0
126,Seaking,3,0,450,80,92,65,65,80,68,1,0
127,Staryu,3,0,340,30,45,55,70,55,85,1,0
128,Starmie,3,11,520,60,75,85,100,85,115,1,0
129,Mr. Mime,11,9,460,40,45,65,100,120,90,1,0
130,Scyther,4,18,500,70,110,80,55,80,105,1,0
131,Jynx,14,11,455,65,50,35,115,95,95,1,0
132,Electabuzz,7,0,490,65,83,57,95,85,105,1,0
133,Magmar,2,0,495,65,95,57,100,85,93,1,0
134,Pinsir,4,0,500,65,125,100,55,70,85,1,0
135,PinsirMega Pinsir,4,18,600,65,155,120,65,90,105,1,0
136,Tauros,5,0,490,75,100,95,40,70,110,1,0
137,Magikarp,3,0,200,20,10,55,15,20,80,1,0
138,GyaradosMega Gyarados,3,16,640,95,155,109,70,130,81,1,0
139,Gyarados,3,18,540,95,125,79,60,100,81,1,0
140,Lapras,3,14,535,130,85,80,85,95,60,1,0
141,Eevee,5,0,325,55,55,50,45,65,55,1,0
142,Vaporeon,3,0,525,130,65,60,110,95,65,1,0
143,Jolteon,7,0,525,65,65,60,110,95,130,1,0
144,Flareon,2,0,525,65,130,60,95,110,65,1,0
145,Porygon,5,0,395,65,60,70,85,75,40,1,0
146,Omanyte,12,3,355,35,40,100,90,55,35,1,0
147,Omastar,12,3,495,70,60,125,115,70,55,1,0
148,Kabuto,12,3,355,30,80,90,55,45,55,1,0
149,Kabutops,12,3,495,60,115,105,65,70,80,1,0
150,AerodactylMega Aerodactyl,12,18,615,80,135,85,70,95,150,1,0
151,Aerodactyl,12,18,515,80,105,65,60,75,130,1,0
152,Snorlax,5,0,540,160,110,65,65,110,30,1,0
153,Articuno,14,18,580,90,85,100,95,125,85,1,1
154,Zapdos,7,18,580,90,90,85,125,90,100,1,1
155,Moltres,2,18,580,90,100,90,125,85,90,1,1
156,Dratini,15,0,300,41,64,45,50,50,50,1,0
157,Dragonair,15,0,420,61,84,65,70,70,70,1,0
158,MewtwoMega Mewtwo Y,11,0,780,106,150,70,194,120,140,1,1
159,MewtwoMega Mewtwo X,11,10,780,106,190,100,154,100,130,1,1
160,Mew,11,0,600,100,100,100,100,100,100,1,0
161,Chikorita,1,0,318,45,49,65,49,65,45,2,0
162,Bayleef,1,0,405,60,62,80,63,80,60,2,0
163,Meganium,1,0,525,80,82,100,83,100,80,2,0
164,Cyndaquil,2,0,309,39,52,43,60,50,65,2,0
165,Quilava,2,0,405,58,64,58,80,65,80,2,0
166,Typhlosion,2,0,534,78,84,78,109,85,100,2,0
167,Totodile,3,0,314,50,65,64,44,48,43,2,0
168,Croconaw,3,0,405,65,80,80,59,63,58,2,0
169,Feraligatr,3,0,530,85,105,100,79,83,78,2,0
170,Sentret,5,0,215,35,46,34,35,45,20,2,0
171,Furret,5,0,415,85,76,64,45,55,90,2,0
172,Hoothoot,5,18,262,60,30,30,36,56,50,2,0
173,Noctowl,5,18,442,100,50,50,76,96,70,2,0
174,Ledyba,4,18,265,40,20,30,40,80,55,2,0
175,Ledian,4,18,390,55,35,50,55,110,85,2,0
176,Spinarak,4,6,250,40,60,40,40,40,30,2,0
177,Ariados,4,6,390,70,90,70,60,60,40,2,0
178,Crobat,6,18,535,85,90,80,70,80,130,2,0
179,Chinchou,3,7,330,75,38,38,56,56,67,2,0
180,Lanturn,3,7,460,125,58,58,76,76,67,2,0
181,Pichu,7,0,205,20,40,15,35,35,60,2,0
182,Cleffa,9,0,218,50,25,28,45,55,15,2,0
183,Igglybuff,5,9,210,90,30,15,40,20,15,2,0
184,Togepi,9,0,245,35,20,65,40,65,20,2,0
185,Togetic,9,18,405,55,40,85,80,105,40,2,0
186,Natu,11,18,320,40,50,45,70,45,70,2,0
187,Mareep,7,0,280,55,40,40,65,45,35,2,0
188,Flaaffy,7,0,365,70,55,55,80,60,45,2,0
189,AmpharosMega Ampharos,7,15,610,90,95,105,165,110,45,2,0
190,Ampharos,7,0,510,90,75,85,115,90,55,2,0
191,Bellossom,1,0,490,75,80,95,90,100,50,2,0
